Products[Manufacturer],Products[Color],Products[SubCategory],Products[Category],Products[Brand Name],Products[Class Name],Products[Product Description],Products[Product Key],Products[Product Name],Products[Unit Cost],Products[Unit Price]
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","Rechargeable Battery","743","Contoso Rechargeable Battery E100 Black","6.6","12.95"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","Dual USB power adapter - power adapter","744","Contoso Dual USB Power Adapter - power adapter E300 Black","20.34","39.9"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Regular","Attach your phone to the cigarette lighter in your car, providing it the power to be used and recharged","745","Contoso Car power adapter M90 Black","9.17","19.95"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Regular","It acts as a convenient carrier for an included hub, can also be used as a non-scratch screen wipe","746","Contoso Notebook Peripheral Kit M69 Black","7.59","16.5"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","Nearly 1,000 notebook computers are stolen everyday - protect your notebook computer and its valuable data with this affordable security product","747","Contoso Mouse Lock Bundle E200 Black","6.6","12.95"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","Goal is to enhance your lifestyle by offering innovative and quality products, as well as continuing to listen and respond to its customers","748","Contoso Education Supplies Bundle E200 Black","6.88","13.5"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Regular","Get the four most popular accessories in one easy bundle with the Laptop 4-in-1 starter bundle This kit is the perfect complement to your laptop ensuring you have the tools you need","749","Contoso Laptop Starter Bundle M200 Black","7.59","16.5"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Regular","Education messenger essentials bundle - notebook accessories bundle","750","Contoso Education Essentials Bundle M300 Black","4.37","9.5"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","Desktop alternative bundle","751","Contoso Desktop Alternative Bundle E200 Black","5.86","11.5"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","Notebook essentials bundle - notebook accessories bundle","752","Contoso Power Inverter - DC to AC power inverter E900 Black","4.84","9.5"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Regular","Smart battery - memory backup battery","753","Contoso Smart Battery M901 Black","5.29","11.5"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","Laptop cooling hub notebook fan with 4 ports USB hub","754","Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 Black","15.24","29.9"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","Home/Office Laptop power adapter","755","Contoso Home/Office Laptop Power Adapter E300 Black","13","25.5"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Regular","USB 2.0 dock station docking station","756","Contoso USB 2.0 Dock Station docking station M800 Black","13.75","29.9"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Regular","Home office enhanced capacity battery","757","Contoso Enhanced Capacity Battery M800 Black","12.83","27.9"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Regular","Connectivity starter kit smart buy","758","Contoso Connectivity Starter Kit Smart Buy M680 Black","12.83","27.9"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","Enhanced capacity battery adapter","759","Contoso 90W AC/DC Power Adapter E300 Black","6.07","11.9"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","Reserve pen - tablet pen, connectivity technology, wireless","760","Contoso Reserve Pen - Tablet Pen E200 Black","7.09","13.9"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","USB data Link - direct connect adapter","761","Contoso USB Data Link-direct connect adapter E600 Black","8.62","16.9"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Deluxe","Primary extended capacity battery pack - notebook battery","762","Contoso Primary Extended Capacity Battery Pack - notebook battery X100 Black","11.23","33.9"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Regular","Digital camera accessory kit","763","Contoso Digital camera accessory kit M200 Black","10.99","23.9"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Deluxe","Leather Case - case for digital photo camera","764","Contoso Leather Case - case for digital photo camera X20 Black","13.22","39.9"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","Lens cap black","765","Contoso Lens cap E80 Black","15.27","29.95"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","Primary extended capacity battery pack -for bike","766","Contoso Battery charger - bike E200 Black","10.15","19.9"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","USB optical mouse","767","Contoso USB Optical Mouse E200 Black","7.9","15.5"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","ADSL modem splitter/filter X 1","768","Contoso ADSL Modem Splitter/Filter X 1 E100 Black","9.13","17.9"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","ADSL modem splitter/filter X 2","769","Contoso ADSL Modem Splitter/Filter X 2 E200 Black","11.68","22.9"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","ADSL modem splitter/filter X 3","770","Contoso ADSL Modem Splitter/Filter X 3 E300 Black","26.97","52.9"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","USB wave multimedia keyboard","771","Contoso USB Wave Multi-media Keyboard E280 Black","8.11","15.9"
"Contoso, Ltd","Black","Computers Accessories","Computers","Contoso","Economy","Cables to go USB 2.0 hard drive enclosure","772","Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 Black","6.07","11.9"
"Contoso, Ltd","Blue","Computers Accessories","Computers","Contoso","Economy","USB wave multimedia keyboard","773","Contoso USB Wave Multi-media Keyboard E280 Blue","8.11","15.9"
"Contoso, Ltd","Blue","Computers Accessories","Computers","Contoso","Economy","USB mouse","774","Contoso USB Optical Mouse E200 Blue","7.9","15.5"
"Contoso, Ltd","Blue","Computers Accessories","Computers","Contoso","Regular","Smart battery - memory backup battery","775","Contoso Smart Battery M901 Blue","5.29","11.5"
"Contoso, Ltd","Blue","Computers Accessories","Computers","Contoso","Regular","Digital camera accessory kit","776","Contoso Digital Camera Accessory kit M200 Blue","10.99","23.9"
"Contoso, Ltd","Blue","Computers Accessories","Computers","Contoso","Economy","Reserve pen - tablet pen","777","Contoso Reserve Pen -Tablet Pen E200 Blue","7.09","13.9"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","Rechargeable Battery","778","Contoso Rechargeable Battery E100 White","6.6","12.95"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","Dual USB power adapter - power adapter","779","Contoso Dual USB Power Adapter - power adapter E300 White","20.34","39.9"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Regular","Attach your phone to the cigarette lighter in your car, providing it the power to be used and recharged.","780","Contoso Car power adapter M90 White","9.17","19.95"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Regular","It acts as a convenient carrier for an included hub, can also be used as a non-scratch screen wipe","781","Contoso Notebook Peripheral Kit M69 White","7.59","16.5"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","Nearly 1,000 notebook computers are stolen everyday - protect your notebook computer and its valuable data with this affordable security product","782","Contoso Mouse Lock Bundle E200 White","6.6","12.95"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","Goal is to enhance your lifestyle by offering innovative and quality products, as well as continuing to listen and respond to its customers","783","Contoso Education Supplies Bundle E200 White","6.88","13.5"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Regular","Get the four most popular accessories in one easy bundle with the Laptop 4-in-1 starter bundle This kit is the perfect complement to your laptop ensuring you have the tools you need","784","Contoso Laptop Starter Bundle M200 White","7.59","16.5"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Regular","Education messenger essentials bundle - notebook accessories bundle","785","Contoso Education Essentials Bundle M300 White","4.37","9.5"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","Desktop alternative bundle","786","Contoso Desktop Alternative Bundle E200 White","5.86","11.5"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","Notebook essentials bundle - notebook accessories bundle","787","Contoso Power Inverter - DC to AC power inverter E900 White","4.84","9.5"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Regular","Smart battery - memory backup battery","788","Contoso Smart Battery M901 White","5.29","11.5"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","Laptop cooling hub notebook fan with 4 ports USB hub","789","Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 White","15.24","29.9"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","Home/Office Laptop power adapter","790","Contoso Home/Office Laptop Power Adapter E300 White","13","25.5"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Regular","USB 2.0 dock station docking station","791","Contoso USB 2.0 Dock Station docking station M800 White","13.75","29.9"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Regular","Home office enhanced capacity battery","792","Contoso Enhanced Capacity Battery M800 White","12.83","27.9"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Regular","Connectivity starter kit smart buy","793","Contoso Connectivity Starter Kit Smart Buy M680 White","12.83","27.9"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","Enhanced capacity battery adapter","794","Contoso 90W AC/DC Power Adapter E300 White","6.07","11.9"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","Reserve pen - tablet pen, connectivity technology, wireless","795","Contoso Reserve Pen - Tablet Pen E200 White","7.09","13.9"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","USB data Link - direct connect adapter","796","Contoso USB Data Link - direct connect adapter E600 White","8.62","16.9"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Deluxe","Primary extended capacity battery pack - notebook battery","797","Contoso Primary Extended Capacity Battery Pack - notebook battery X100 White","11.23","33.9"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Regular","Digital camera accessory kit","798","Contoso Digital camera accessory kit M200 White","10.99","23.9"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Deluxe","Leather case for digital photo camera","799","Contoso Leather Case - case for digital photo camera X20 White","13.22","39.9"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","Lens cap black","800","Contoso Lens cap E80 White","15.27","29.95"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","Primary extended capacity battery pack","801","Contoso Battery charger - bike E200 White","10.15","19.9"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","USB optical mouse","802","Contoso USB Optical Mouse E200 White","7.9","15.5"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","ADSL modem splitter/filter X 1","803","Contoso ADSL Modem Splitter/Filter X 1 E100 White","9.13","17.9"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","ADSL modem splitter/filter X 2","804","Contoso ADSL Modem Splitter/Filter X 2 E200 White","11.68","22.9"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","ADSL modem splitter/filter X 3","805","Contoso ADSL Modem Splitter/Filter X 3 E300 White","26.97","52.9"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","USB wave multimedia keyboard","806","Contoso USB Wave Multi-media Keyboard E280 White","8.11","15.9"
"Contoso, Ltd","White","Computers Accessories","Computers","Contoso","Economy","Cables to go USB 2.0 hard drive enclosure","807","Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 White","6.07","11.9"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","Rechargeable Battery","808","Contoso Rechargeable Battery E100 Grey","6.6","12.95"
"Contoso, Ltd","Grey","Computers Accessories","Computers","Contoso","Economy","Dual USB power adapter - power adapter","809","Contoso Dual USB Power Adapter - power adapter E300 Grey","20.34","39.9"
